Environmental package	Structured comment name	Definition	Expected value	Value syntax	Example	Preferred unit	Occurrence	MIXS ID	Item
food-farm environment	intended_consumer	Food consumer type, human or animal, for which the food product is produced and marketed. This field accepts terms listed under food consumer group (http://purl.obolibrary.org/obo/FOODON_03510136) or NCBI taxid.	FOODON_03510136 or NCBI taxid	{integer}|{termLabel} {[termID]}        	9606 o rsenior as food consumer [FOODON:03510254] 		m	MIXS:0001144	intended consumer
food-farm environment	library_prep_kit	Packaged kits (containing adapters, indexes, enzymes, buffers etc.), tailored for specific sequencing workflows, which allow the simplified preparation of sequencing-ready libraries for small genomes, amplicons, and plasmids.	name of library preparation kit	{text}	Illumina DNA Prep		1	MIXS:0001145	library preparation kit
food-farm environment	air_flow_impede	Presence of objects in the area that would influence or impede air flow through the air filter.	enumeration;obstruction type; distance from sampling device	[obstructed|unobstructed]; {text}; {measurement value}	obstructed;hay bales; 2 m		m	MIXS:0001146	local air flow impediments
food-farm environment	lot_number	A distinctive alpha-numeric identification code assigned by the manufacturer or distributor to a specific quantity of manufactured material or product within a batch. Synonym: Batch Number.  The submitter should provide lot number of the item followed by the item name for which the lot number was provided.	lot number, item	{integer}, {text}	1239ABC01A, split Cornish hens		m	MIXS:0001147	lot number
food-farm environment	season_humidity	Average humidity of the region throughout the growing season.	measurement value	{float} {unit}	0.25		1	MIXS:0001148	mean seasonal humidity
food-farm environment	part_plant_animal	The anatomical part of the organism being involved in food production or consumption; e.g., a carrot is the root of the plant (root vegetable). This field accepts terms listed under part of plant or animal (http://purl.obolibrary.org/obo/FOODON_03420116).	FOODON:03420116	{text}|{termLabel} {[termID]}	chuck [FOODON:03530021]		m	MIXS:0001149	part of plant or animal
food-farm environment	plant_growth_med	Specification of the media for growing the plants or tissue cultured samples, e.g. soil, aeroponic, hydroponic, in vitro solid culture medium, in vitro liquid culture medium. Recommended value is a specific value from EO:plant growth medium (follow this link for terms http://purl.obolibrary.org/obo/EO_0007147) or other controlled vocabulary	EO or enumeration	{termLabel} {[termID]} or [husk|other artificial liquid medium|other artificial solid medium|peat moss|perlite|pumice|sand|soil|vermiculite|water]	soil		m	MIXS:0001057	plant growth medium
food-farm environment	plant_reprod_crop	Plant reproductive part used in the field during planting to start the crop.	enumeration	[plant cutting|pregerminated seed|ratoon|seed|seedling|whole mature plant]	seedling		m	MIXS:0001150	plant reproductive part
food-farm environment	samp_purpose	The reason that the sample was collected.	enumeration or {text}	[active surveillance in response to an outbreak|active surveillance not initiated by an outbreak|clinical trial|cluster investigation|environmental assessment|farm sample|field trial|for cause|industry internal investigation|market sample|passive surveillance|population based studies|research|research and development] or {text}	field trial		1	MIXS:0001151	purpose of sampling
food-farm environment	repository_name	"The name of the institution where the sample or DNA extract is held or ""sample not available"" if the sample was used in its entirety for analysis or otherwise not retained."	Institution	{text}	FDA CFSAN Microbiology Laboratories		m	MIXS:0001152	repository name
food-farm environment	samp_pooling	Physical combination of several instances of like material, e.g. RNA extracted from samples or dishes of cell cultures into one big aliquot of cells. Please provide a short description of the samples that were pooled.	text	{text}	5uL of extracted genomic DNA from 5 leaves were pooled		m	MIXS:0001153	sample pooling
food-farm environment	samp_source_mat_cat	This is the scientific role or category that the subject organism or material has with respect to an investigation.  This field accepts terms listed under specimen source material category (http://purl.obolibrary.org/obo/GENEPIO_0001237 or http://purl.obolibrary.org/obo/OBI_0100051).	GENEPIO:0001237	{termLabel} {[termID]}	environmental (swab or sampling) [GENEPIO:0001732]		1	MIXS:0001154	sample source material category
food-farm environment	sequencing_kit	Pre-filled, ready-to-use reagent cartridges. Used to produce improved chemistry, cluster density and read length as well as improve quality (Q) scores. Reagent components are encoded to interact with the sequencing system to validate compatibility with user-defined applications. Indicate name of the sequencing kit.	name of sequencing kit used	{text}	NextSeq 500/550 High Output Kit v2.5 (75 Cycles)		1	MIXS:0001155	sequencing kit
food-farm environment	sequencing_location	The location the sequencing run was performed. Indicate the name of the lab or core facility where samples were sequenced.	text	{text}	University of Maryland Genomics Resource Center		1	MIXS:0001156	sequencing location
food-farm environment	serovar_or_serotype	A characterization of a cell or microorganism based on the antigenic properties of the molecules on its surface. Indicate the name of a serovar or serotype of interest. This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy.	NCIT:C14250 or NCBI taxid	{termLabel} {[termID]}|{integer}	Escherichia coli strain O157:H7 [NCIT:C86883]		m	MIXS:0001157	serovar or serotype
food-farm environment	soil_conductivity	Conductivity of soil at time of sampling.	measurement value	{float} {unit}	10 milliSiemens per centimeter	milliSiemens per centimeter	1	MIXS:0001158	soil conductivity
food-farm environment	soil_cover	Description of the material covering the sampled soil. This field accepts terms under ENVO:00010483, environmental material.	ENVO:00010483	{termLabel} {[termID]}	bare soil [ENVO01001616]		1	MIXS:0001159	soil cover
food-farm environment	soil_pH	The pH of soil at time of sampling.	measurement value	{float}	7.2		1	MIXS:0001160	soil pH
food-farm environment	rel_location	Location of sampled soil to other parts of the farm e.g. under crop plant, near irrigation ditch, from the dirt road.	text	{text}	furrow		1	MIXS:0001161	relative location of sample
food-farm environment	soil_porosity	Porosity of soil or deposited sediment is volume of voids divided by the total volume of sample.	percent porosity	{percentage}	0.2	percentage	1	MIXS:0001162	soil sediment porosity
food-farm environment	soil_temp	Temperature of soil at the time of sampling.	measurement value	{float}{unit}	25 degrees Celsius	degree Celsius	m	MIXS:0001163	soil temperature
food-farm environment	soil_texture_class	One of the 12 soil texture classes use to describe soil texture based on the relative proportion of different grain sizes  of mineral particles [sand (50 um to 2 mm), silt (2 um to 50 um), and clay (<2 um)] in a soil.	enumeration	[clay|clay loam|loam|loamy sand|sand|sandy clay|sandy clay loam|sandy loam|silt|silty clay|silty clay loam|silt loam]	silty clay loam		1	MIXS:0001164	soil texture classification
food-farm environment	soil_texture_meth	Reference or method used in determining soil texture classification.	PMID,DOI or url	{PMID}|{DOI}|{URL}	https://uwlab.soils.wisc.edu/wp-content/uploads/sites/17/2015/09/particle_size.pdf (hydrometer method)		1	MIXS:0000336	soil texture method
food-farm environment	soil_type	Description of the soil type or classification. This field accepts terms under soil (http://purl.obolibrary.org/obo/ENVO_00001998).  Multiple terms can be separated by pipes.	ENVO_00001998	{termLabel} {[termID]}	plinthosol [ENVO:00002250]		m	MIXS:0000332	soil type
food-farm environment	spikein_org	Taxonomic information about the spike-in organism(s). This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy. Multiple terms can be separated by pipes.	NCIT:C14250 or NCBI taxid	{termLabel} {[termID]}|{integer}	Listeria monocytogenes [NCIT:C86502]|28901		m	MIXS:0001167	spike in organism
food-farm environment	spikein_serovar	Taxonomic information about the spike-in organism(s) at the serovar or serotype level. This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy. Multiple terms can be separated by pipes.	NCIT:C14250 or antigenic formula or serovar name	{termLabel} {[termID]}|{integer}	Escherichia coli strain O157:H7 [NCIT:C86883]|83334		m	MIXS:0001168	spike-in bacterial serovar or serotype
food-farm environment	spikein_growth_med	A liquid or gel containing nutrients, salts, and other factors formulated to support the growth of microorganisms, cells, or plants (National Cancer Institute Thesaurus).  A growth medium is a culture medium which has the disposition to encourage growth of particular bacteria to the exclusion of others in the same growth environment.  In this case, list the culture medium used to propagate the spike-in bacteria during preparation of spike-in inoculum. This field accepts terms listed under microbiological culture medium (http://purl.obolibrary.org/obo/MICRO_0000067). If the proper descriptor is not listed please use text to describe the spike in growth media.	MICRO:0000067	{text}|{termLabel} {[termID]}	LB broth [MCO:0000036]		m	MIXS:0001169	spike-in growth medium
food-farm environment	spikein_strain	Taxonomic information about the spike-in organism(s) at the strain level. This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy. Multiple terms can be separated by pipes.	NCIT:C14250 or NCBI taxid or text	{termLabel} {[termID]}|{integer}	169963		m	MIXS:0001170	spike-in microbial strain
food-farm environment	spikein_antibiotic	Antimicrobials used in research study to assess effects of exposure on microbiome of a specific site.  Please list antimicrobial, common name and/or class and concentration used for spike-in.	drug name; concentration	{text} {integer}	Tetracycline at 5 mg/ml		m	MIXS:0001171	spike-in with antibiotics
food-farm environment	spikein_metal	Heavy metals used in research study to assess effects of exposure on microbiome of a specific site.  Please list heavy metals and concentration used for spike-in.	heavy metal name or chemical symbol; concentration	{text} {integer}	Cd at 20 ppm		m	MIXS:0001172	spike-in with heavy metals
food-farm environment	timepoint	Time point at which a sample or observation is made or taken from a biomaterial as measured from some reference point. Indicate the timepoint written in ISO 8601 format.	duration	{float}	P24H	hours or days	1	MIXS:0001173	timepoint
food-farm environment	water_frequency	Number of water delivery events within a given period of time.	rate	{float}{unit}	2 per day	per day, per week, per month	1	MIXS:0001174	water delivery frequency
food-farm environment	water_pH	pH measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid.	measurement value	{float}	7.2		1	MIXS:0001175	water pH
food-farm environment	water_source_shared	Other users sharing access to the same water source. Multiple terms can be separated by one or more pipes.	enumeration	[multiple users, agricutural|multiple users, other|no sharing]	no sharing		m	MIXS:0001176	water source shared
food-farm environment	enrichment_protocol	The microbiological workflow or protocol followed to test for the presence or enumeration of the target microbial analyte(s).  Please provide a PubMed or DOI reference for published protocols.	PMID,DOI,url or free text	{PMID}|{DOI}|{URL}|{text}	BAM Chapter 4: Enumeration of Escherichia coli and the Coliform Bacteria		1	MIXS:0001177	enrichment protocol
food-farm environment	food_quality_date	"The date recommended for the use of the product while at peak quality, this date is not a reflection of safety unless used on infant formula this date is not a reflection of safety and is typically labeled on a food product as ""best if used by,"" best by,"" ""use by,"" or ""freeze by."""	enumeration, date	[best by|best if used by|freeze by||use by]; date	best by 2020-05-24		1	MIXS:0001178	food quality date
food-farm environment	IFSAC_category	The IFSAC food categorization scheme has five distinct levels to which foods can be assigned, depending upon the type of food. First, foods are assigned to one of four food groups (aquatic animals, land animals, plants, and other). Food groups include increasingly specific food categories; dairy, eggs, meat and poultry, and game are in the land animal food group, and the category meat and poultry is further subdivided into more specific categories of meat (beef, pork, other meat) and poultry (chicken, turkey, other poultry). Finally, foods are differentiated by differences in food processing (such as pasteurized fluid dairy products, unpasteurized fluid dairy products, pasteurized solid and semi-solid dairy products, and unpasteurized solid and semi-solid dairy products. An IFSAC food category chart is available from https://www.cdc.gov/foodsafety/ifsac/projects/food-categorization-scheme.html PMID: 28926300.	IFSAC term	{text}	Plants:Produce:Vegetables:Herbs:Dried Herbs		m	MIXS:0001179	Interagency Food Safety Analytics Collaboration (IFSAC) category
food-farm environment	animal_housing	Description of the housing system of the livestock. This field accepts terms listed under terrestrial management housing system (http://opendata.inra.fr/EOL/EOL_0001605).	EOL:0001605	{termLabel} {[termID]}	pen rearing system [EOL:0001636]		m	MIXS:0001180	animal housing system
food-farm environment	cult_isol_date	A culture isolation date is a date-time entity marking the end of a process in which a sample yields a positive result for the target microbial analyte(s) in the form of an isolated colony or colonies.	date and time	{timestamp}	2018-05-11T10:00:00+01:00		1	MIXS:0001181	culture isolation date
food-farm environment	food_clean_proc	The process of cleaning food to separate other environmental materials from the food source. Multiple terms can be separated by pipes.	enumeration	[drum and drain|manual spinner|rinsed with sanitizer solution|rinsed with water|scrubbed with brush|scrubbed with hand|soaking]	rinsed with water|scrubbed with brush		m	MIXS:0001182	food cleaning process
food-farm environment	misc_param	Any other measurement performed or parameter collected, that is not listed here.	parameter name; measurement value	{text};{float} {unit}	Bicarbonate ion concentration;2075 micromole per kilogram		m	MIXS:0000752	miscellaneous parameter
